"字段1","字段4","字段5"
"sophie","215","说尴尬的我就呵呵了，不知道现实真的就是这样的吗？"
"我是骚当","325","有点牛逼，而且重点是！都是原声！没有配音！还有，关弹幕！！！保智商！！！"
"扭腰客","35","就像奥运会诞生了无数表情包一样，主旋律在被娱乐化包装后，似乎是没那么讨人厌了，但本质依然是主旋律。书记表情包大泛滥，再次证明：某种程度上，娱乐至死是比政治高压更“温水煮青蛙”的工具。"
"小田切梨","128","被安利看了五分钟。开场北京地标的延时摄影，强行尬纸牌屋，也不晓得在哪个论坛买的素材，色调、节奏都不统一。陆毅演的侦查处长出场给的是教父式的“后脑勺调度”，一群小跟班活生生尬台词，还没等镜头甩到陆毅正脸，实在忍不住关了。中国人拍政治，原来别扭的不只是内容，连视听层面也是。"
"旅途人生","335","不是中国没好剧！是好剧真的太难生存了！首先，这是一部最高检牵头的剧！和湄公河一样官方背景明显！不过注重市场规律，没有过于美化！其次，这剧不如湄公河就是不是硬汉电影！官场腹黑学的作品！老戏骨的内心戏尤为突出！不见棺材不落泪，特别真实！终于看到一部真正意义上的开年大局了！"
"太史政","81","當下社會反腐劇的前提是有腐敗存在，只此一點，足以表明社會的不正常。何時沒有反腐劇了，或者反腐劇成為歷史劇了，那才是真的好。另外，就衝劇組威脅并狀告普通人這一點，就讓人噁心一萬次！"
"有涯之生","173","今年最大的惊喜，内涵至深，作为体制内的，有时看的浑身发麻"
"瘸腿蚂蚁","125","看了十分钟就被恶心到了，装腔作势，BUSHIT."
"肥嘟嘟左卫门","98","中国观众是多少年没看反腐剧了吗？当年大雪无痕什么的，尺度比这高多了啊。这片充斥着各种propaganda， 仍然基本不说人话（公开场合的确这样，但私下场合那点“好人的小情绪”也假到爆炸好吗？主要是侯陈沙这种好人现实中不存在）看到评论“老戏骨飚戏”这几个字就恶心，你看过多少戏好意思这么说？"
"竹刀穿林","124","和纸牌屋比，其实还有很大的差距。考完纸牌屋，你会觉得政治里没人好人，并且理解人性的黑暗与贪婪。但看完这个，你只觉得，哼，叫你坏，被抓了吧！你只能看到一个政党让你看到的进步"
"taoxinxu释凡","225","芒果台花2.2亿购买反腐大戏，丁义珍副市长海外潜逃，牵扯土地、矿产、旧房管制案件。侯勇私拿2亿多却不敢花，贪婪大门开恐怖难收。一群老戏骨扎堆，陆毅太内敛，吴刚活灵活现...编剧周梅森挺懂贪官反侦细节，感觉前面剧情有点波澜不惊、节奏略慢，希望不要《北平无战事》那么装腔作势、打反腐旗号骗钱"
"Whysoserious","119","总制片人、总发行人、领衔主演都是高亚麟。夏东海不是儿童剧作家吗？！开始拍反腐剧了？！是为了教育当卧底的刘星吗？"
"贾葭","89","看《人民的名义》，要不是几个熟悉的取景地，差点没认出来改头换面的大南京。眼前飘过一窝市委书记：王武龙、李源潮、罗志军、朱善璐、杨卫泽、黄莉新、吴政隆，平均两年换一个，这个城市太委屈了。"
"古尔齐亚","60","此剧最大的亮点不是展现腐败，而是公开承认地方政府串通流氓拆迁队搞强拆，并且公开承认删帖删不过来"
"sound of colors","123","这部剧看跟谁比，满屏都是烂剧中算能将就看的，跟以前那些经典片差的太远，除了一个反腐的题材加上老戏骨的演出，最让我受不了的就是苍白的台词或者说是剧本太平凡了，尿点太多，毫无深度"
"小岩井","92","本以为会很主旋律，没想到展开这么真实深入，带感。最让我激动的，是看到了小时候的女神胡静。"
"epiphany","63","第三集之后看不下去了，哪里好看了。。。"
"非魚","73","家中好几位供职公检法的成员都认为是幼稚的洗脑片，无脑的五毛们还吹捧什么呢"
"大萌妹买买买","94","副检察长的儿子是反贪局长，大法官的老公是省委副书记，大法官的侄女反贪局处长。系主任带出来的学生都是官，一个比一个厉害，其中他最看重的学生会主席是本片的男主角（陆毅饰演）。这是不是高级黑啊？"
"念末麦","66","官方营销之强大，豆瓣知乎怕也是无奈，样板戏随时复燃，搁哪个年代，人心人性都并不会真的改变太多，同样的套路可以洗脑不同代的人。"
"BenOZ","82","如果这个能打九分，我为以前黑过的所有国产片道歉：《富春山居图》《十二生肖传奇》《抗日奇侠》~~~"
"李然","102","大陆的政治题材这尺度也是一种突破了，起码比无脑抗日剧、弱智玛丽苏好多了。全程演技在线，尤其侯勇和吴刚。部分反映了现实官场，现实的中国官场就是这么复杂，很多情况，人情大于法治。不过我还是觉得，现实官场里陆毅都活不过第一集。涉及根本性的东西还是有所保留，毕竟民意和民义太不一样！8.2"
"阿凡思蜜达","181","汇报紧急任务前先拍马屁的大段前戏，敬酒桌上的人情百态，气急败坏训斥下属的高高姿态，非常真实。繁冗、拖沓、极端虚伪，这就是中国官场政治的常态。敢于把它揭出来，好歹还没算烂到根里。"
"一醉累月酒星魄","47","向我们生动地展示了1984式生活。"
"申甲由田","40","门生故吏，同窗发小，父子母女，夫妻翁婿……[捂脸][捂脸][捂脸]"
"不二喵","90","为什么我觉得很拖沓，演了半天一个要把送礼的花送给养老院，演半天。张嘴就给我派个车，哪有那么多车给你派啊，还有那个挣钱，和爸爸bbbb扯半天，剧情完全没推进"
"盐","47","对政府的不信任感使得国产剧中出现对权力的讥讽即成为赞同点，该剧最大的弱点在于对贪腐的定义，没有绝对的贪腐，只有永恒的利益"
"所以说呢","75","哪里写实了！体制内哪有中年不秃顶不发福的局长！！！！！！"
"越‘界王","73","政治戏比反腐戏好看"
"二手狮王","119","打四星，是因为被评论里一大部分小学生恶心了，逢共必反。还有评论里说上维基外网，了解了中国官场客观状况，以及着装打扮太丑打一星的，你们是来搞笑的吧！这部剧往后看也有一些缺点，说教太重，意识形态灌输也让人不舒服，确实有点主旋律。这部剧表达着，党内只有几个害群之马，整体是好的！"
"8th_Montaigne","130","時代洪流中的官場現形記。"
"微疏","96","一日降到8.8，一星远比二星多足以反映是赤裸裸恶意差评了，阿北真的需要多想点办法拦水军了"
"渡辺纯一","56","严肃文学。"
"请叫我越王","210","就冲前两集侯勇的演技也得给5星"
"毛路","45","不喜欢这剧跟政治没有半毛钱关系，纯粹受不了浮夸的演技和台词，春晚小品既视感。看了两集，弃。"
"外来务工人员","28","保佑豆瓣从抱大腿做起。"
"水瓶座女孩","71","原本觉得为什么年轻一代的反腐先锋全是官二代而细思极恐，真正深入思考后反而觉得这是一种真实的体现：没有相当硬的官方背景不可能年纪轻轻就身居高位；正因为出身好从小什么都见过都不缺所以才能做到不被金钱利益迷惑本心、进而反腐而不是贪污！PS同理可证为何开国第一代都出身良好而不是寒门～"
"Hit the road","139","中国人做主旋律终于没有那种令人尴尬癌的歌功颂德感了，涉案剧时隔十年再次回归，希望能再掀风潮"
"万宝露小姐♥","55","节奏太拖沓，对白太说教，几个故事穿插剪辑严重影响情绪流，题材是好的，但是整体水准真的是对不起目前的高分。"
"璇玑","71","可怕，没看到腐败，看到了门生故吏、盘根纠结，看到了世家子弟与寒门子弟的对立；人设还停留在几十年前、远远落后于时代。不是有几句台词就是最大尺度。这剧担不起盛誉，我非常疑惑高分是咋来的、一边倒的赞誉是哪儿来的。明明十几年前，诸多反腐剧比这剧更值得观看"
"北极熊绵绵冰","53","每个人好好说台词就能成为神剧了？？？"
"饭团裹卷饼","64","目前来看这剧还是不错的，但是也有让人无语的，汉东检察院派遣2个人去酒店盯那个顶副市长，结果那两个人喝着果汁聊着天还把人给盯丢了，这tm是智障吗！简直无语。看到第八集就醉了，那个陆处长是什么东西，她有什么资格对一个局长甩脸色，那女的简直脑膜炎发作。"
"落宝地","46","垃圾"
"XBH","49","服了热评"
"废柴少女","58","中国农民那么倒霉有你这么个坏儿子"
"支jew庞克林廊","43","引用 “故作真诚的样子比不要脸还吓人 故作敢言的样子比平常更不要脸”"
"拔刀诀","36","题材尺度大了一些，老演员都比较靠谱，官场部分贪官部分看着像那么回事。但一到反贪局检察院的戏，台词矫情做作，表演生硬拙劣，用轻佻冒充人性，陆毅两口子在家都不说人话，跟在会场发言似的。编剧导演要么是高级黑，要么是能力差。"
"zts","108","演员的台词功底，稳健的镜头调配和合理的多线叙事秒杀一众单纯贩卖明星人气和颜值的IP剧；聚焦近年来最敏感也最受关注的时政议题，俨然一股不可多得的荧幕清流；将严肃政治题材进行通俗化改编尝试，让人有谍战大戏般的过瘾体验，这样的良心剧，必须要推荐！"
"長風寓公","28","鼓吹擦屁股技巧带来多大爽快感  有助于解决拉肚子问题嘛"
"SCIFI","46","鼓励一下吧，说比纸牌屋什么的实在有点夸大，剧情还是单薄，只是替憋屈的人民出了口气而已"
"Sumwood","59","看到6集，这剧集的套路，我明白了。烂的全是地方的官员，中央的全是伟光正。最大的boss应该是高老师。可笑的是演正派的一方也充满了各种人情"
"linn","70","那些打一星的，你是不是心虚？这是好片，开头五分钟我就知道这片子我要追，一分钟都不能错过。揭露黑暗，便是进步，无论如何要前行，公仆腐败苦了的是百姓！"
"Mark哥","118","感觉比看纸牌屋YY美国政治好多了"
"易老邪","17","so so"
"苏先生","74","真是比美剧还好看，每个人人物的出身导致在事业上的野心和格局，穷不为官，是真的。"
"InitialD","45","这剧什么都好，就是导演水平太差。我还以为我在看一部90年代的电视剧。镜头切换混乱，叙事方法老套，时不时还有让人不能接受的穿帮镜头出现。让人没一集都能出戏。就和中国足球差在裁判一样，国产剧差就差在导演和后期制作中。关键那么多年还没有任何进步也算开了眼了。"
"济公有洁癖。","49","看到第八集了，节奏越来越慢，越来越慢，所以你们是为了把这一件事拖到56集故意改变了打开方式？"
"月落西橋","97","某些人不提演技二字，就感觉装不了比体现不出自己的鉴赏能力"
"[已注销]","66","反腐在路上的电视剧版，把贪腐归咎于个人的贪腐，厉害。难道只有我一个人认为这只是某党的宣传片吗？看了几集只感觉人民公仆党员都在电视剧里，出门办事还是那个样，片里面的省委书记在层层阻力下贪腐，在公检法都那么公正执法下还能贪腐，一个人背了所有的锅，中国这种清官意识要害死人。"
"Hank","42","赞美这个剧尺度的傻逼可以拉黑我吗"
"璎珞","40","观后感：农民的儿子就不要当官了…"
"妳De呓語","38","看了两集，想打5星。看到七八集，想打4星。现在看到15集，只想打三星。越来越拖沓，从紧凑的悬疑剧，变成婆婆妈妈的都市剧。有点失望。"
"达康书记的GDP","82","其实我没有给国产剧打分的习惯 一般就算看完喜欢的剧也不会打分 我要保持高冷的美剧党的形象 但是我太喜欢达康书记了 达康书记的gdp由我来守护！达康书记的眼睛里有星星！"
"内陆飞鱼","9","想了一下，反腐要想快刀斩乱麻，高速、快捷、有效，好看又漂亮，可能还是应该给巡视组、反贪局佩戴尚方宝剑，树立一批像包拯、海瑞这样的清官，上斩昏君下斩谗臣，而且可以先斩后奏，人民群众一定拍手称快。"
"丁一","9","电视剧不能看，一看就停不下来，像贪污腐败一样。电视剧不能停，一停下来更想看，像反腐倡廉一样"
"阎浮提","35","刷本感情线生硬，人物塑造模糊，一味高大全伟光正，花瓶酱油角色太多；语言过于书面，不贴近生活；戏剧5要素缺失数个，剧本上实在不算佳作，言过其实。两星给老戏骨，不能更多。"
"tatmin","53","建议来各大部委和央企收听下日常对话；下属为上级物色结婚对象是想多了吧？日常对白尴尬作呕。"
"afa","50","失望。到底是宣传法制还是人制？"
"李小白漂不白","90","我能不能给六颗星？"
"沧海","21","挣钱跟他宝宝那条线没意思"
"Hugebee","31","烂片一部，也不知道怎么有那么多炒作"
"小明小明","52","各位看开始很激情很棒的，放心，第四集就恢复国产剧本色了。"
"孟婆来碗糖水","43","光题材我就愿意给5星"
"Rebecca的夏天","20","傻叉。why the fuck everybody is talking about this show even in NYC������"
"孔雀胆","47","拍样板戏呢吧跟这儿"
"大白汐","35","本来剧本是可以值四星以上的，但是那个哈批阚犇犇戏份太多扣掉一星，场景切换硬的都他妈快赶上预告剪辑了，扣掉一星。最后想再骂下那个SB阚犇犇，还B组执行导演?这部剧就他妈毁在导演剪辑上，你他妈不是强行给自己加戏谁他妈信啊，加你吗些鬼戏跟这部剧J2关系没有都快赶上主播直播了，小伙子后台不错啊"
"kakakarl","50","芒果台又一高分剧。十年前欠《大明王朝1566》的收视率，希望群众今年能还给《人民的名义》。"
"Horn_Trio","35","表演还可以，节奏有些拖沓。年轻角色演绎的过于夸张，林华华就像金刚骷髅岛里的景甜，非常别扭"
"江夏","30","无非是拍给老百姓看看的那种主旋律。这样的剧还有那么多人买账，只能说人民是太好骗了。"
"RoBeRt","22","也配叫神剧?"
"Zoe","43","1、感觉在看魔幻剧。2、因为最高检撑腰可真敢写。3、剧作真心一般。"
"为什么不养鲸鱼","27","獨裁者還是獨裁者。"
"豆瓣尼姑","18","视听语言的水平大概停留在二十年前"
"ChimChim","63","正在看"
"就酱飘a飘","39","贪污官员跑到国外确定不是去享福的？过得这么潦倒不是在骗我们吧……大家书读的少啊 求不骗……"
"欧石楠","30","零蛋。国产片已经走到穷途末路。"
"控闲","28","难道我看了个假电视剧？说好的大尺度呢？说好的未删减呢？布景和领导的穿着感觉在80年代，然鹅，还有微博热搜和弹幕，感觉我穿越了。我不排斥主旋律，但也太主旋律了吧，请问当下哪个领导天天把人民挂在嘴边？矫枉必须过正，8.7分？太失望了。豆瓣您怎么了？我读书少，求不被骗！"
"阿崔","33","心酸 一部并没有什么质量但中规中矩的反贪电视剧就能让呈现一种走进新时代的欣喜 节奏的拖沓可以说是反映了真实状态 但即使不是职业的作家都有写作的时候即要描写真实故事也要有文艺作品戏剧紧张化的觉悟"
"聆海沐月","71","尺度真的是大！！卧槽，拆迁那段真的居然能在电视上播…"
"何关痴人","34","越来越好看了 那么大胆真的是国家越来越自信了 且达康书记太有男人味了 一切小的不足简直不足挂齿 不给你5星我给谁"
"林文子","13","呵呵。"
"Lycurgus","42","有评论说不能理解打一分的，那他可能是，真的不能理解吧"
"臧舟壑","14","看了两集半，弃剧。人物都太能说，从老到小，甭管干什么的，都口才极好。人物没一点儿留白，看得心累。另外就是官场题材的通病，人物思维模式高度一致，这哪儿可能啊？还是推荐《大明王朝1566》，群像塑造比这剧高明太多"
"junoxdd","32","五星好评！"
"嗨呀火鸟，","26","黄毛一出现就等于提醒该去上厕所了"
"鏡鐘湖","41","像《吐槽大会》一样，从反面角度来洗白我党，那些大段说教的台词让人尴尬，尤其陆毅和他老婆的那段，不知是演员演技差还是演的人本身就不相信。但是片子还是可以看的，起码有些进步，可惜肯定不会真正对体制反思，最后要说教的是党是好的，只是人出了问题。"
"徐大明白","33","看了评论，大家对国产剧的要求还是太低了，中国导演最大的问题在这部剧中体现的淋漓尽致，不懂视听语言，不会指导表演。"
"辉太狠","20","敢这么大尺度的黑公安系统——我给五星。希望黑的更狠点"
"人淡如菊。无奈","6","柯蓝 赵子琪 加那啥林华华真演技黑洞"
"我叫卢大胆","15","陆毅好帅！"
"vahva","20","烦死Mainland China这畸形的意识形态了。要恶心一辈子"
"♨陶小醉","23","我也不知道打分的有多少了解官场了解公务员，作为体制内的人，对这种非黑即白台词呼唤爱的电影，看完就一个字，瞎鸡巴扯淡。"
"川上富江","43","总之就是……非常出戏，非常尴尬"
"比多","13","我倒觉得拍得还行，是戏，尊重了电视剧规律。只不过把宫斗戏伪装成了律政戏。要说精神气质嘛，归根结底和“一人我饮酒醉”没大区别。是一种精神自卫。"
"猫了喵的","44","我也很绝望啊！我能怎么办呢！竟然坐在电视前看反腐剧……其实讲不上多好看，对话也有不真实和夸张的成分，不过倒是可以窥探下官场的生态……"
"MISSCIVI","19","败笔就在郑乾和他的宝宝，太恶心！"
"你不知道的事","25","看了第一集，陆毅简直被吊打。"
"claire","41","陆毅的演技真是神了，演啥不像啥"
"胥颜裳","36","正剧该有的样子，不避讳、不高调，因为工作的原因，基本上每天都会看到政府部门开会，电视剧还原的很好，各种老戏骨的对手戏，看着过瘾，前两天回家和父亲一起看了两天，那感觉棒棒的，开启追剧模式。"
"先下手为强yo","26","很一般吧，陆毅演技堪忧，有些情节太虚假，台词尴尬..."
"薄荷绿浅花灰","40","9.1分？看了两集剧情很拖沓，真不值五星啊"
"JL™","33","太好看了！！！必须打一星。"
"Sofia小姐啊","15","时空之无限，人类算什么？李达康、高育良、沙瑞金又算什么？不过都是蚂蚁尘埃罢了……胸怀宇宙的孙连城孙区长简直要升天啊"
"金鹏远1968","9","还挺好看"
"搬家了","24","打一星的都傻逼"
"安东","3","也就前两集还算好看吧，后面又变成我党的廉政宣传片了。"
"forzihe","14","其实除了剧本以外没什么亮点，而剧本的亮点也只是因为其话题性，而不是剧本本身。如果拍一个以房价飞涨为主题的电视剧，估计会更火……"
"Paul Liu","16","狗屎"
"倒戈","24","没看过。不相信尺度惊人大一说。不可能的，开玩笑。"
"Qing77","19","午休看过两集，蛮恶心。从头到尾这部剧就是基于恶心的目的拍出来恶心的剧。"
"兔子吃萝卜","15","央视让剪到40集也不是没道理。55集确实水了点，观众看出来的点，剧中人要起码5集之后才能想明白，对比《信号》只需要不到1分钟的节奏，确实注水较多。不过琅琊榜啊甄嬛传也有这问题，也算是通病了。"
"forfaen","27","这搁美剧里……可能56集能变成16集吧……只有中国人有这个耐心看这个剧吧……"
"河狸","9","近期非常火的反腐大戏，不追就low了！"
"兔美酱","26","能不能把郑西坡儿子的戏全部删掉？看着就烦"
"Elk Cloner","21","滚犊子！"
"Unity","45","想起郭德纲说的:全靠同行衬托"
"尘埃落定","59","尴尬，分镜头陆毅两夫妻坐在床上刷手机，那动作，那对话，真是被逗笑。整部剧定是先有“指导文件”再生凑的剧情，借助角色的嘴说出来的“文件精神”，一套一套的，看得我尴尬症都犯了。"
"大润爸爸丶","21","依然是高大上假大空那一套。恶心。"
"三米","41","反贪总局有点廉政公署的样子了。"
"isaiah","41","剧情跌宕，表现腐败案件尺度大，这些可以打8分；而10满分在于官员们的若无其事的关系呈现，慢吞吞的每一句闲话。"
